State/Province,City,Donation Amount
SC,charleston,100.0
WI,edgerton,12.0
WI,sun prairie,25.0
WI,madison,25.0
WI,cross plains,26.06
WI,madison,52.34
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,madison,26.06
WI,columbus,50.0
WI,waunakee,25.0
WI,verona,300.0
WI,randolph,26.06
WI,madison,500.0
WI,mineral point,51.8
WI,marshall,51.8
WI,cottage grove,100.0
WI,sun prairie,25.0
WI,sun prairie,100.0
MA,andover,150.0
WI,madison,100.0
WI,madison,154.79
NY,cortlandt manor,25.0
MN,richfield,26.06
MN,richfield,25.0
MN,richfield,25.0
MN,richfield,25.0
MN,richfield,25.0
MN,richfield,25.0
MN,richfield,25.0
MN,richfield,25.0
MN,richfield,25.0
MN,richfield,25.0
MN,richfield,25.0
MN,richfield,25.0
MN,richfield,25.0
MN,richfield,25.0
MN,richfield,25.0
MN,richfield,25.0
MN,richfield,25.0
MN,richfield,25.0
MN,richfield,25.0
MN,richfield,25.0
MN,richfield,25.0
MN,richfield,25.0
MN,richfield,25.0
WI,sun prairie,26.06
WI,madison,51.8
WI,verona,103.3
WI,madison,309.27
WI,cross plains,50.0
WI,middleton,12.67
WI,madison,26.06
WI,cross plains,154.79
WI,mcfarland,26.06
WI,monroe,12.0
WI,evansville,103.3
WI,madison,50.0
WI,monona,208.43
WI,prairie du sac,25.0
WI,madison,309.27
WI,madison,10.0
WI,milwaukee,351.49
WI,sauk city,26.06
WI,madison,26.06
NY,putnam valley,26.06
WI,fond du lac,12.67
WI,deforest,51.8
WI,mt. horeb,51.8
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,mcfarland,103.3
WI,mcfarland,103.3
WI,mcfarland,103.3
WI,mcfarland,515.24
WI,madison,51.8
WI,madison,51.8
WI,madison,51.8
WI,madison,51.8
WI,madison,51.8
WI,madison,51.8
WI,madison,51.8
WI,madison,51.8
WI,madison,102.02
WI,madison,51.8
WI,madison,51.8
WI,madison,125.0
WI,madison,51.8
WI,madison,51.8
WI,madison,154.79
WI,cottage grove,25.0
WI,madison,12.0
WI,madison,26.06
TX,austin,10.61
WI,columbus,25.0
WI,madison,300.0
WI,jackson,66.74
WI,madison,26.06
WI,madison,26.06
WI,madison,150.0
WI,madison,52.34
WI,madison,52.34
WI,madison,52.34
WI,madison,52.34
WI,madison,52.34
WI,madison,52.34
WI,madison,52.34
WI,madison,52.34
WI,madison,52.34
WI,madison,52.34
WI,fitchburg,50.0
WI,madison,309.27
WI,madison,500.0
WI,madison,103.3
WI,stoughton,51.8
WI,madison,26.06
WI,sun prairie,25.0
WI,madison,50.0
WI,verona,100.0
WI,verona,51.8
NY,new york,78.36
WI,madison,26.06
WI,madison,26.06
WI,madison,26.06
WI,madison,26.06
WI,madison,26.06
WI,madison,26.06
WI,madison,26.06
WI,madison,26.06
WI,madison,26.06
WI,madison,26.06
WI,madison,26.06
WI,madison,26.06
WI,madison,52.34
WI,middleton,309.27
WI,middleton,51.8
WI,madison,118.23
WI,middleton,51.8
WI,greenville,550.0
WI,greenville,50.0
WI,madison,51.8
WI,de forest,250.0
WI,prairie du sac,2500.0
WI,madison,4.0
WI,madison,4.0
WI,madison,4.0
WI,madison,4.0
WI,madison,4.0
WI,madison,4.0
WI,madison,4.0
WI,madison,4.0
WI,madison,4.0
WI,madison,4.0
WI,madison,4.0
WI,madison,4.0
WI,madison,4.0
WI,stoughton,51.8
WI,prairie du sac,30.0
WI,janesville,25.0
WI,cambridge,12.0
WI,cambridge,12.0
WI,cambridge,12.0
WI,cambridge,12.0
WI,cambridge,12.0
WI,cambridge,12.0
WI,cambridge,12.0
WI,cambridge,12.0
WI,cambridge,12.0
WI,cambridge,12.0
WI,cambridge,12.0
WI,cambridge,12.0
WI,cambridge,12.0
WI,cambridge,12.0
WI,cambridge,12.0
WI,cambridge,12.0
WI,cambridge,12.0
WI,cambridge,12.0
WI,cambridge,12.0
WI,cambridge,12.0
WI,cambridge,12.0
WI,cambridge,12.0
WI,cambridge,12.0
WI,cambridge,12.0
WI,cambridge,12.0
WI,cambridge,12.0
WI,cambridge,12.0
WI,cambridge,12.0
WI,cambridge,12.0
WI,cambridge,12.0
WI,cambridge,12.0
WI,cottage grove,500.0
WI,verona,3000.0
WI,sun prairie,103.3
WI,madison,25.0
WI,madison,25.0
WI,madison,25.0
WI,madison,25.0
WI,madison,25.0
WI,madison,25.0
WI,madison,25.0
WI,madison,25.0
WI,madison,25.0
WI,madison,25.0
WI,madison,25.0
WI,madison,25.0
WI,madison,25.0
WI,arlington,103.3
WI,fitchburg,26.06
WI,madison,51.8
WI,oregon,51.8
WI,fitchburg,51.8
WI,fitchburg,51.8
WI,middleton,51.8
WI,defirest,51.8
WI,reedsburg,50.0
WI,janesville,26.06
WI,sauk city,150.0
WI,madison,103.3
WI,madison,25.0
WI,madison,51.8
WI,verona,13.13
WI,verona,13.13
WI,verona,13.13
WI,verona,13.13
WI,verona,13.13
WI,verona,13.13
WI,verona,13.13
WI,verona,13.13
WI,verona,13.13
WI,verona,13.13
WI,verona,13.13
WI,verona,13.13
WI,verona,13.13
WI,madison,26.33
WI,mcfarland,405.05
WI,mcfarland,700.62
WI,stoughton,20.0
WI,madison,103.3
WI,blue mounds,103.3
WI,monona,103.3
MN,andover,51.8
WI,middleton,26.06
WI,sun prairie,515.24
WI,sun prairie,1000.0
IL,willow springs,51.8
MA,boston,51.8
WI,cottage grove,103.3
WI,arlington,26.06
WI,madison,607.07
WI,madison,607.07
WI,madison,618.23
WI,madison,26.06
WI,madison,26.06
WI,madison,26.06
WI,madison,26.06
WI,madison,26.06
WI,madison,26.06
WI,madison,26.06
WI,madison,26.06
WI,madison,26.06
WI,madison,26.06
WI,madison,26.06
WI,madison,26.06
WI,deforest,51.8
WI,barneveld,26.06
WI,mc farland,25.0
WI,mauston,25.0
WI,waunakee,103.3
WI,dane,600.0
WI,madison,500.0
WI,fitchburg,26.06
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,oak creek,25.0
WI,rhinelander,62.49
WI,rhinelander,156.4
WI,madison,51.8
WI,stoughton,154.79
WI,madison,77.55
WI,madison,154.79
TX,richmond,312.49
TX,richmond,312.49
TX,richmond,312.49
TX,richmond,312.49
TX,richmond,312.49
TX,richmond,312.49
TX,richmond,312.49
TX,richmond,312.49
TX,richmond,312.49
TX,richmond,312.49
TX,richmond,312.49
TX,richmond,312.49
TX,richmond,312.49
WI,evansville,51.8
WI,albany,50.0
WI,madison,25.0
WI,madison,25.0
WI,madison,25.0
WI,madison,25.0
WI,madison,25.0
WI,madison,25.0
WI,madison,25.0
WI,madison,26.06
WI,madison,25.0
WI,madison,25.0
WI,madison,26.06
WI,madison,25.0
WI,madison,25.0
WI,madison,102.02
WI,brodhead,103.3
WI,madison,51.8
WI,madison,103.3
SC,charleston,1625.0
WI,cross plains,51.8
WI,middleton,26.06
WI,madison,12.67
WI,madison,12.67
WI,madison,12.67
WI,madison,12.67
WI,madison,12.67
WI,madison,12.67
WI,madison,12.67
WI,madison,12.67
WI,madison,12.67
WI,madison,12.67
WI,madison,12.67
WI,madison,12.67
WI,madison,12.67
WI,middleton,26.06
WI,verona,51.8
WI,mc farland,100.0
WI,madison,12.67
WI,madison,12.67
WI,madison,12.67
WI,madison,12.67
WI,madison,12.67
WI,madison,12.67
WI,madison,12.67
WI,madison,12.67
WI,madison,12.67
WI,madison,12.67
WI,madison,12.67
WI,madison,12.67
WI,fitchburg,50.0
WI,middleton,103.3
WI,madison,51.8
WI,madison,51.8
WI,madison,25.0
WI,madison,25.0
WI,madison,110.0
WI,oregon,25.0
WI,madison,26.06
WI,madison,51.8
SC,charleston,120.0
WI,madison,103.3
WI,sun prairie,260.46
WI,lodi,103.3
